,0,user,comment
0,Iyeeeee!,bro.brett,Iyeeeee!
1,How did I not submit 😢😭😭😭😭😭,momomatsunyane,How did I not submit 😢😭😭😭😭😭
2,Asambe asambe asambe 🔥🔥🔥🔥💃🏽💃🏽💃🏽💃🏽💃🏽💃🏽,kwandie_maklight,Asambe asambe asambe 🔥🔥🔥🔥💃🏽💃🏽💃🏽💃🏽💃🏽💃🏽
3,Sne with the unstoppable bangers❤️🔥🔥 Love from BW🇧🇼,kingeazebw,Sne with the unstoppable bangers❤️🔥🔥 Love from BW🇧🇼
4,🔥🔥🔥🔥summer is sorted 🎶🕺🕺💃💃💃,qhama_musiq,🔥🔥🔥🔥summer is sorted 🎶🕺🕺💃💃💃
5,The hours put in here🙌 the editing🔥the vision 🔥the joy of watching one reel 8 times❤️,maggnificient1,The hours put in here🙌 the editing🔥the vision 🔥the joy of watching one reel 8 times❤️
6,Nazoke! 😍🔥I can’t believe you my FRIEND hayi ngeke!! Yoh! 😭♥️,stella_dlangz,Nazoke! 😍🔥I can’t believe you my FRIEND hayi ngeke!! Yoh! 😭♥️
7,🔥,kenaleontla,🔥
8,Can't  wait to by this album 🔥🙌,phathu_marty,Can't  wait to by this album 🔥🙌
9,Bruv no words just 🔥,phathu_marty,Bruv no words just 🔥
10,Top right always comes through with the vibes without fail. LMAO,imsophia_c,Top right always comes through with the vibes without fail. LMAO
11,Top right always comes through with the vibes without fail. LMAO,imsophia_c,Top right always comes through with the vibes without fail. LMAO
12,Sne with the unstoppable bangers❤️🔥🔥 Love from BW🇧🇼,kingeazebw,Sne with the unstoppable bangers❤️🔥🔥 Love from BW🇧🇼
13,Yaaaaaaaas!!!! I’ve got a soundtrack for Monday morning now! 😍😍😍🙌🏽🙌🏽🙌🏽,dr_khanyile,Yaaaaaaaas!!!! I’ve got a soundtrack for Monday morning now! 😍😍😍🙌🏽🙌🏽🙌🏽
14,I love it!!! 😍😍🔥🔥,judz_n,I love it!!! 😍😍🔥🔥
15,😂😂😂 to cool🔥🔥🔥🔥 nice one,noma_geu,😂😂😂 to cool🔥🔥🔥🔥 nice one
16,Love this 🔥,fadz_many,Love this 🔥
17,This is the best 🔥🔥🔥🔥🔥🔥🔥🔥,rinnah_kololo,This is the best 🔥🔥🔥🔥🔥🔥🔥🔥
18,😂😂😂😂 OMW 🙌🙌🙌🙌 love it 🥰,justnqaba,😂😂😂😂 OMW 🙌🙌🙌🙌 love it 🥰
19,🔥This is so cool😂,paby_mody,🔥This is so cool😂
20,Genius,thembashabz,Genius
21,😂😂😂😂😂😂😂Hilarious,shazleeblack,😂😂😂😂😂😂😂Hilarious
22,Love it❤️,nqobilemdima,Love it❤️
23,I love it 😍❤️,kerotse_modi,I love it 😍❤️
24,Sooo cool,intlemagnificent,Sooo cool
25,You're Talented 😭😭❤️✨💯,breilermeso_sir,You're Talented 😭😭❤️✨💯
26,😍🔥❤️,kate.maloba,😍🔥❤️
27,🔥🔥🔥🔥🔥🔥 👏👏👏👏,tokomoko_,🔥🔥🔥🔥🔥🔥 👏👏👏👏
28,Liiiiiike🔥🔥,mbambo_ndumi,Liiiiiike🔥🔥
29,This is so dope 😂🔥🥺,the_original_thuli,This is so dope 😂🔥🥺
30,Looovvee iitt👏👏🔥🔥,temptation_pyt_,Looovvee iitt👏👏🔥🔥
31,🔥🔥🔥Love it,nthabiseng_jade,🔥🔥🔥Love it
32,Love this Sne,cheslimncube,Love this Sne
33,🔥🔥🔥❤️❤️,sphesihle_thechef_mthimkhulu,🔥🔥🔥❤️❤️
34,This is so beautiful 🥺🔥you are so talented wow man🤩🤩,ms_zwane_sa,This is so beautiful 🥺🔥you are so talented wow man🤩🤩
35,😍😍😍😍,mangzito,😍😍😍😍
36,🔥🔥🔥🔥,lisa_sixpence,🔥🔥🔥🔥
37,Hayi uyashiyile uboooi🙌🔥🔥,siphiwe_sem,Hayi uyashiyile uboooi🙌🔥🔥
38,😍😍😍😍😍😍,sibonokuhle_s,😍😍😍😍😍😍
39,😍😍,__phumelele.s,😍😍
40,Awe I love this !!!!!!,sibalibibily,Awe I love this !!!!!!
41,Bathong!!!!🔥🔥🔥❤️❤️,phummy_gee,Bathong!!!!🔥🔥🔥❤️❤️
42,@dr_khanyile yaaas 🔥🔥,mpilo_sibisi,@dr_khanyile yaaas 🔥🔥
43,🔥🔥🔥🔥❤️❤️,nonhlanhla_dlamuka,🔥🔥🔥🔥❤️❤️
44,This is a bop! 👏🏾👏🏾👏🏾👏🏾,kokopambo,This is a bop! 👏🏾👏🏾👏🏾👏🏾
45,Love that xylophone 😂😂👌🏽👌🏽✨,_humanning_,Love that xylophone 😂😂👌🏽👌🏽✨
46,This sounds so good 👏🏾,cbeeey,This sounds so good 👏🏾
